id,form,type,translation_lexeme,analysis,translation,mw_lexeme
1020.1,mAMsaja,stem,fatness,MW.mAMsaja.161795,"O Destroyer[√धक्क् अच्](Rudra), bring[√वह् लोट् 2s] us[नः implied ŚBr 1.4.2] the gift[RV] of food[RV] full of fatness[Suśr]","मांस—ज mfn. ‘flesh-born’, produced in the fl° , Suśr."
1020.1,ASa,stem,bring,MW.ASa.27355,"O Destroyer[√धक्क् अच्](Rudra), bring[√वह् लोट् 2s] us[नः implied ŚBr 1.4.2] the gift[RV] of food[RV] full of fatness[Suśr]","eating, ŚBr."
1020.1,varam,word,"वरम् , ind.  preferably, rather, better , RV. &c. &c.",MW.varam.186779.16 Nom.M.S,"O Destroyer[√धक्क् अच्](Rudra), bring[√वह् लोट् 2s] us[नः implied ŚBr 1.4.2] the gift[RV] of food[RV] full of fatness[Suśr]",
1021.1,sahamAnI,word,victorious,MW.sahamAna.240007 TAD.ini Nom.M.S,With the victorious[AV] one[सहमान इनि],"sa/hamAna mfn.  conquering, victorious, AV."
1023.1,maha,stem,great,MW.maha.159155,O great[RV] roarer[√रण् अच्],"1. maha/ mfn. great, mighty, strong, abundant, RV."
1023.1,raRa,word,roarer,MW.raRa.174198 Voc.M.S,O great[RV] roarer[√रण् अच्],"2. रण m.  sound, noise, L."
1024.2,rava,word,Roarer,DHATU.ru. KRT.ac Voc.M.S,O Roarer[√रु अच्] O burner[AV; √दह् शतृ],
1024.2,A,stem,Roarer,MW.A.22015.75,O Roarer[√रु अच्] O burner[AV; √दह् शतृ],"to the knees’, R"
1024.2,dahan,word,burner,DHATU.dah KRT.Satf Voc.M.S,O Roarer[√रु अच्] O burner[AV; √दह् शतृ],
1034.1,kzayaRa,word,dwellings,MW.kzayaRa.59283 Voc.M.S,O One who is in dwellings[VS; Sri Rudram:kṣayaṇa],"kzayaRa/ , n. a dwelling place, Nir. vi, 6."
1047.1,java,word,Swift,MW.java.78316 Voc.M.S,O Swift one[AV],"जव mfn.  swift, AV. xix, 7, 1"
1051.1,harARI,word,bear,DHATU.hf. TIN.low.1.S,May I bear[√हृ लोट् 1s],
1057.1,mava,stem,braided,DHATU.mava~.Bhvadi KRT.ac Voc.M.S,O one braided[मव् अच्] roarer[√रण्],
1057.1,raRa,word,roarer,MW.raRa.174076 Voc.M.S,O one braided[मव् अच्] roarer[√रण्],"1. रण m. delight, pleasure, gladness, joy, RV."
1058.1,maTakam,word,Destroyer,DHATU.maT. KRT.vun Acc.M.S,The destroyer[√मथ् वुन्],
1059.1,ca,stem,the,MW.ca.70292,"Born of the Satiating one[च = √चन् ans; =Soma libation śBr 1.6.4.5, RV] [possibly potter's marks, not writing]",check:is caja = cattja
1059.1,ja,word,Born,MW.ja.76157 Voc.M.S,"Born of the Satiating one[च = √चन् ans; =Soma libation śBr 1.6.4.5, RV] [possibly potter's marks, not writing]","born or produced , Mn. x, 25"
1060.1,rava,stem,roaring,DHATU.ru. KRT.ac Voc.M.S,O roaring[√रु अच्] mighty[RV] braider[√नह् शतृ; =ties braids],
1060.1,ama,stem,mighty,MW.ama.13749,O roaring[√रु अच्] mighty[RV] braider[√नह् शतृ; =ties braids],"1. अम m. impetuosity, violence, strength, power, RV."
1060.1,nahan,word,braider,DHATU.Raha~. KRT.Satf Voc.M.S,O roaring[√रु अच्] mighty[RV] braider[√नह् शतृ; =ties braids],
1062.1,kam,word,Excellent,MW.kam.43756.1 Nom.M.S,O excellent[RV] eminent one[MBh],
1062.1,vara,word,one,MW.vara.186779.08 Voc.M.S,O excellent[RV] eminent one[MBh],
1063.1,na na,word,Strong affirmation,INDC.na.102621,"Certainly[न न = ननु], absolute[RV] salutations[Śis], O protector[TS]",
1063.1,pAna,word,Certainly,MW.pAna.120867 Voc.M.S,"Certainly[न न = ननु], absolute[RV] salutations[Śis], O protector[TS]","1. पान n. drinking , draught, RV. , AV. &c. &c."
1063.1,sam,stem,"to be disturbed , Dhātup",MW.sam,"Certainly[न न = ननु], absolute[RV] salutations[Śis], O protector[TS]",
1063.1,namana,word,salutations,MW.namana.103839 Voc.M.S,"Certainly[न न = ननु], absolute[RV] salutations[Śis], O protector[TS]","bending , Sāh."
1064.1,anaNka,stem,carrying,MW.aNka.1409 NEG,O unhooked[RV] (bow) carrying[MBh] Roarer[√भण् क्विप्][SR: vijyaṃ dhanuḥ],"aNka/ m. a hook, RV. i, 162, 13, &c."
1064.1,vaha,stem,carrying,MW.vaha.189254,O unhooked[RV] (bow) carrying[MBh] Roarer[√भण् क्विप्][SR: vijyaṃ dhanuḥ],"वह mfn.  carrying, bearing, conveying, bringing, causing, producing, effecting"
1064.1,BAR,word,Roarer,DHATU.BaR. KRT.kvip Voc.M.S,O unhooked[RV] (bow) carrying[MBh] Roarer[√भण् क्विप्][SR: vijyaṃ dhanuḥ],
1065.1,antama,word,Agni,MW.antama.7975.1 Voc.M.S,"O one dearest to us(Agni, Indra)[RV 5.24.1]","intimate , RV."
1066.1,nawa,stem,"नट m.  actor, dancer, mime, MBh.",MW.nawa.103177,"O dancing[MBh] giver[Pāṇ] of fiery[√दह् अच्] brightness[MBh]""","नट m.  actor, dancer, mime, MBh."
1066.1,daha,stem,giver,DHATU.da\ha~.Bhvadi KRT.ac Voc.M.S,"O dancing[MBh] giver[Pāṇ] of fiery[√दह् अच्] brightness[MBh]""",
1066.1,BAsam,stem,light,MW.BAsa.150601,light/splendor[MW],"भास m. light, lustre, brightness , MBh."
1066.1,da,word,"द m. n. a gift, L.",MW.da.89220 Voc.M.S,"O dancing[MBh] giver[Pāṇ] of fiery[√दह् अच्] brightness[MBh]""","द m. n. a gift, L."
1067.1,BfSa,stem,mighty,MW.BfSa.152732,O mighty[MBh] destroyer[आ-√दह् अच्],"BfSa mfn.  strong, vehement, mighty, powerful, frequent, abundant , Mn."
1067.1,A,stem,mighty,MW.A.22012,O mighty[MBh] destroyer[आ-√दह् अच्],"3. A m. N. of Śiva, L."
1067.1,daha,word,destroyer,DHATU.dah. KRT.ac Voc.M.S,O mighty[MBh] destroyer[आ-√दह् अच्],
1068.1,dada,word,"दद mfn.  ‘giving’, see अभयं-",MW.dada.89875 Voc.M.S,O generous[Pāṇ] ekapada[=aja ekapāda; the Sun; AV 13.1.6],"दद mfn.  ‘giving’, see अभयं-"
1068.1,ekapada,word,ekapada,MW.ekapada.39394 Voc.M.S,O generous[Pāṇ] ekapada[=aja ekapāda; the Sun; AV 13.1.6],eka—pada n. one and the same place or spot
1069.1,Dakka,stem,completely,DHATU.Dakka~. KRT.ac Voc.M.S,O Destroyer; I seek a splendorous gift,
1069.1,vanaja,word,I,MW.vanaja.185790 Voc.M.S,O Destroyer; I seek a splendorous gift,"vana—ja mfn. f°-born, sylvan, wild, Śiś."
1069.1,varam,word,I,MW.varam.186779.16 Nom.M.S,O Destroyer; I seek a splendorous gift,
1069.1,Aca,word,seek a,MW.Aca.22858 Voc.M.S,O Destroyer; I seek a splendorous gift,See आच-पराच and आचोपच ss.vv.
1071.1,babada,word,steadied,DHATU.bad. TIN.liw.1.S,I steadied[√बद् लिट् 1s] the horse[RV] driver[√वल् र Śis],
1071.1,aSva,stem,horse,MW.aSva.20089,I steadied[√बद् लिट् 1s] the horse[RV] driver[√वल् र Śis],"to behave like a horse, Pāṇ"
1071.1,vala,stem,attacher,DHATU.val.1 KRT.ac Voc.M.S,I steadied[√बद् लिट् 1s] the horse[RV] driver[√वल् र Śis],
1071.1,ram,word,I,MW.ra.173017 Acc.M.S,I steadied[√बद् लिट् 1s] the horse[RV] driver[√वल् र Śis],"giving, effecting, Śiś."
1073.1,rava,word,a,MW.rava.175305 Voc.M.S,O Roarer; a powerful great sacrifice (to you),"रव m.  a roar, yell, cry, howl , RV. &c. &c."
1073.1,amam,word,powerful,MW.ama.13749 Acc.M.S,O Roarer; a powerful great sacrifice (to you),"1. अम m. impetuosity, violence, strength, power, RV."
1073.1,maha,stem,Roarer,MW.maha.159158,O Roarer; a powerful great sacrifice (to you),"a partic. Ekāha, ŚāṅkhŚr."
1073.1,mAKam,word,"माख  n.  any relationship based upon an oblation offered in common, Hariv. .",MW.mAKa.161941 Acc.M.S,O Roarer; a powerful great sacrifice (to you),"माख  n.  any relationship based upon an oblation offered in common, Hariv. ."
1074.1,raveRa,word,Roarer,MW.rava.175305 Ins.M.S,Delight[RV] due to the Roarer[√रु अच् ims],"रव m.  a roar, yell, cry, howl , RV. &c. &c."
1074.1,raRam,word,Delight,MW.raRa.174076 Acc.M.S,Delight[RV] due to the Roarer[√रु अच् ims],"1. रण m. delight, pleasure, gladness, joy, RV."
1075.1,jajjatama,stem,"जज्ज mfn.  laughing, Uṇ. iv, 77, Sch.",MW.jajja.76504 TAD.tamap,The swiftest[DaivBr] vigorous[RV 8.46.23] one,
1075.1,maTram,word,"maTra/ mfn. shaken, agitated, whirling, RV. .",MW.maTra.155217 Acc.M.S,The swiftest[DaivBr] vigorous[RV 8.46.23] one,"maTra/ mfn. shaken, agitated, whirling, RV. ."
1077.1,aSmam,word,Honor,DHATU.mnanA. TIN.low.2.S,Honor[√म्नना लोट् 2s] the heavens[RV],
1077.1,mana,word,"N. of a son of Śambara, Hariv. .",MW.mana.156713 Voc.M.S,Honor[√म्नना लोट् 2s] the heavens[RV],"N. of a son of Śambara, Hariv. ."
1080.1,aSma,stem,a,MW.aSma,Mokṣa[MBh] is (he) who bears[MBh] the vajra[RV],
1080.1,saham,word,is,MW.saha.239972 Acc.M.S,Mokṣa[MBh] is (he) who bears[MBh] the vajra[RV],"causing, effecting, stimulating, exerting, Śiś."
1080.1,mokzam,word,Mok,MW.mokza.168320 Acc.M.S,Mokṣa[MBh] is (he) who bears[MBh] the vajra[RV],"mokza m. . ) emancipation, liberation, release from , MBh."
1081.1,ravasa,stem,रवस See पुरू-र्°.,MW.ravasa.175333 Voc.M.S,O roaring[RV] mighty[RV] great[RV] stormy one[RV],रवस See पुरू-र्°.
1081.1,ama,stem,mighty,MW.ama.13749,O roaring[RV] mighty[RV] great[RV] stormy one[RV],"1. अम m. impetuosity, violence, strength, power, RV."
1081.1,maha,stem,mighty,MW.maha.159156,O roaring[RV] mighty[RV] great[RV] stormy one[RV],"maha/ m.  a feast, festival, MBh."
1081.1,maTra,word,"maTra/ mfn. shaken, agitated, whirling, RV. .",MW.maTra.155217 Voc.M.S,O roaring[RV] mighty[RV] great[RV] stormy one[RV],"maTra/ mfn. shaken, agitated, whirling, RV. ."
1082.1,mAra,stem,Soma,MW.mAra.163216,"Rudra[AV, MBh] who is Soma[RV] [TS 4.5.8]","मार m. death, pestilence, VarBṛS."
1082.1,vaham,word,"वह mfn.  carrying, bearing, conveying, bringing, causing, producing, effecting",MW.vaha.189254 Acc.M.S,"Rudra[AV, MBh] who is Soma[RV] [TS 4.5.8]","वह mfn.  carrying, bearing, conveying, bringing, causing, producing, effecting"
1082.1,madam,word,Soma,MW.mada.155337 Acc.M.S,"Rudra[AV, MBh] who is Soma[RV] [TS 4.5.8]","any exhilarating or intoxicating drink, spirituous liquor, wine, Soma, RV. &c. &c.,"
1083.1,nf,stem,men,MW.nf,O Killer of men[RV नृहन्],
1083.1,hAna,word,killer,MW.hAna.262517 Voc.M.S,O Killer of men[RV नृहन्],"want, lack, Kap."
1084.1,maYja,stem,Roaring,DHATU.maYja~. KRT.ac Voc.M.S,O Roaring[√मञ्ज् अच्] refuge[RV],
1084.1,SaraRa,word,refuge,MW.SaraRa.213669 Voc.M.S,O Roaring[√मञ्ज् अच्] refuge[RV],"SaraRa/ n. refuge, protection, refuge with , Mn."
1085.1,jAm,word,destroyer,DHATU.jE KRT.ac Acc.M.S,The Soma mixture[RV] prepared[MBh] for consumption[√जम्],
1085.1,aYjas,stem,mixture,MW.aYjas.2299,The Soma mixture[RV] prepared[MBh] for consumption[√जम्],"अञ्जस् n. ointment, a mixture, RV. i, 132, 2"
1085.1,sajjAm,word,for,MW.sajjA.229028 Acc.M.S,The Soma mixture[RV] prepared[MBh] for consumption[√जम्],"sajjA , f. equipment, armour, mail, L."
1086.1,rezma,stem,in,MW.rezma.179525,O one bound[√मव् शतृ] in the storm[AV] [SR: reṣmiya],रेष्म in comp. for रेष्मन्.
1086.1,mavan,word,storm,DHATU.mav. KRT.Satf Voc.M.S,O one bound[√मव् शतृ] in the storm[AV] [SR: reṣmiya],
1087.1,SaraRa,stem,protection,MW.SaraRa.213669,Indestructible[MBh] protection[RV],"SaraRa/ n. refuge, protection, refuge with , Mn."
1087.1,akzaya,word,Indestructible,MW.akzaya.557 Voc.M.S,Indestructible[MBh] protection[RV],"अ-क्षय mfn. exempt from decay, undecaying"
1089.1,tattva,word,the,MW.tattva.81839 Voc.M.S,O the essence of Reality[ŚvetUp],"तत्—त्व n. true or real state, truth, reality, ŚvetUp."
1095.1,Anam,word,"आन m. , face",MW.Ana.24313 Acc.M.S,O subduing[RV] killer[RV],"आन m. , face"
1095.1,Ahan,word,Slayer,DHATU.A-han. KRT.kvip Voc.M.S,O subduing[RV] killer[RV],
1098.1,damana,stem,Subduing,MW.damana.90271,O my Subduing[MBh] mighty[RV] concealer[√वृ शतृ],"दमन mfn. ifc. taming, subduing, overpowering, MBh. viii"
1098.1,ama,word,mighty,MW.ama.13750 Voc.M.S,O my Subduing[MBh] mighty[RV] concealer[√वृ शतृ],"depriving of sensation, fright, terror, RV."
1098.1,mama,word,My[MW:asmad Gen.Sg.],PRON.asmad Gen.M.S,O my Subduing[MBh] mighty[RV] concealer[√वृ शतृ],
1098.1,varan,word,conceal,DHATU.vf. KRT.Satf Voc.M.S,O my Subduing[MBh] mighty[RV] concealer[√वृ शतृ],
1099.1,Basane,word,"Basana m. a bee, L.",MW.Basana.149298 Voc.F.D,O greatest[RV] one in consuming[√भस् ल्युट् loc],"Basana m. a bee, L."
1099.1,A,stem,greatest,MW.A.22015.50,O greatest[RV] one in consuming[√भस् ल्युट् loc],"moreover, further, and  In classical Sanskṛt it may denote the limit ‘to’, ‘until’, ‘as far as’, ‘from’, either not including the object named or including it  e.g. A-maraRam or A-maraRAt, ‘till death’, Pañcat."
1099.1,mahan,word,"महन् n. greatness, might, power, abundance , RV.",MW.mahan.159265 Voc.M.S,O greatest[RV] one in consuming[√भस् ल्युट् loc],"महन् n. greatness, might, power, abundance , RV."
1101.1,rava,word,Roarer,DHATU.ru. KRT.ac Voc.M.S,O Roarer[√रु अच्] O powerful[RV] Shining one[√भा शतृ],
1101.1,ama,stem,powerful,MW.ama.13749,O Roarer[√रु अच्] O powerful[RV] Shining one[√भा शतृ],"1. अम m. impetuosity, violence, strength, power, RV."
1101.1,BAn,word,one,DHATU.BA. KRT.Satf Voc.M.S,O Roarer[√रु अच्] O powerful[RV] Shining one[√भा शतृ],
1102.1,Sakra,word,powerful,MW.Sakra.211048 Voc.M.S,O powerful one (Indra)[RV],"शक्र mfn. strong, powerful, mighty , RV."
1103.1,dAva,stem,fire,MW.dAva.91837,"O fire[ŚBr] bearer[Śiś], O Mighty[RV] Annointer[√अञ्ज् शतृ]","fire, heat"
1103.1,saha,word,Mighty,MW.saha.239969 Voc.M.S,"O fire[ŚBr] bearer[Śiś], O Mighty[RV] Annointer[√अञ्ज् शतृ]","1. सह mfn. powerful, mighty, RV."
1103.1,ama,stem,Mighty,MW.ama.13749,"O fire[ŚBr] bearer[Śiś], O Mighty[RV] Annointer[√अञ्ज् शतृ]","1. अम m. impetuosity, violence, strength, power, RV."
1103.1,aYjan,word,Annointer,DHATU.anjU~. KRT.Satf Nom.M.S,"O fire[ŚBr] bearer[Śiś], O Mighty[RV] Annointer[√अञ्ज् शतृ]",
1104.1,ravARa,word,रवाण See under √ 1. रु.,MW.ravARa.175328 Voc.M.S,O Roarer[See √रु participle MBh],रवाण See under √ 1. रु.
1105.1,ama,stem,mighty,MW.ama.13749,O mighty[RV] Joyful one[√मद् शतृ =śiva],"1. अम m. impetuosity, violence, strength, power, RV."
1105.1,madan,word,joyful,DHATU.mad. KRT.Satf Voc.M.S,O mighty[RV] Joyful one[√मद् शतृ =śiva],
1109.1,DAraRa,stem,eminent,MW.DAraRa.100965,The eminent[MBh] Shiva[MBh],"keeping back i.e. pronouncing imperfectly, Prāt."
1109.1,varam,word,"वरम् , ind.  preferably, rather, better , RV. &c. &c.",MW.varam.186779.16 Nom.M.S,The eminent[MBh] Shiva[MBh],
1112.1,aYcan,word,away,DHATU.anci~. KRT.Satf Voc.M.S,O one who turns away[RV 10.28.4 √अञ्च् शतृ],
1113.1,raRa,stem,roaring,MW.raRa.174198,O Roaring[√रण् अच्] wanderer[MBh],"2. रण m.  sound, noise, L."
1113.1,cara,word,wanderer,MW.cara.72176 Voc.M.S,O Roaring[√रण् अच्] wanderer[MBh],"movable, shaking, unsteady, W."
1114.1,DAra,stem,like,MW.DAra.100945,O one whose speech gushes pure like a stream[=dhāravaka RV 5.44.5],"धार m. N. of Viṣṇu, L."
1114.1,vaca,stem,like,MW.vaca.184692,O one whose speech gushes pure like a stream[=dhāravaka RV 5.44.5],"वच m. a parrot, L."
1114.1,ra,word,gushes,MW.ra.173014 Voc.M.S,O one whose speech gushes pure like a stream[=dhāravaka RV 5.44.5],"2. ra  a cretic , Piṅg."
1115.1,kam,word,Excellent,MW.kam.43756.1 Nom.M.S,O excellent[RV] killer[√हन् अच्],
1115.1,hana,word,killer,DHATU.han. KRT.ac Voc.M.S,O excellent[RV] killer[√हन् अच्],
1116.1,ajAya,word,Rudra,MW.aja.1930 Dat.M.S,for Rudra[RV],"N. of Indra, of Rudra, of one of the Maruts , of Agni, of the sun, of Brahmā, of Viṣṇu, of Śiva, of Kāma"
1117.1,ama,stem,powerful,MW.ama.13749,O powerful[RV] death[MBh] destroyer[MBh],"1. अम m. impetuosity, violence, strength, power, RV."
1117.1,maraRa,stem,death,MW.maraRa.158120,O powerful[RV] death[MBh] destroyer[MBh],"मरण n. the act of dying, death, , ŚrS."
1117.1,kzaya,word,destruction,MW.kzaya.59380 Voc.M.S,O powerful[RV] death[MBh] destroyer[MBh],"end, termination"
1118.1,naSanam,word,"नशन n. disappearing, escaping, L.",MW.naSana.104763 Acc.M.S,destruction[BhP],"नशन n. disappearing, escaping, L."
1119.1,rava,word,Roarer,MW.rava.175305 Voc.M.S,"O Roarer[√रु], the origin[RV]","रव m.  a roar, yell, cry, howl , RV. &c. &c."
1119.1,jAnam,word,origin,MW.jAna Acc.M.S,"O Roarer[√रु], the origin[RV]",
1120.1,asme,word,for me,INDC.asme.21493.2,sacrifice[RV] for me[dat. अस्म RV],
1120.1,mAKam,word,"माख  n.  any relationship based upon an oblation offered in common, Hariv. .",MW.mAKa.161941 Acc.M.S,sacrifice[RV] for me[dat. अस्मम RV],"माख  n.  any relationship based upon an oblation offered in common, Hariv. ."
1122.1,DAna,word,"धान mfn. containing, holding",MW.DAna.100750 Voc.M.S,O one who contains all[RV; SR: kṛtsnavītāya],"धान mfn. containing, holding"
1123.1,mada,stem,passion,MW.mada.155334,O slayer[RV] of passion[MBh],"ardent passion for , MBh."
1123.1,han,word,slayer,MW.han.260418 Voc.M.S,O slayer[RV] of passion[MBh],"2. हन् mfn. killing, a killer, slayer"
1124.1,A,stem,powerful,MW.A.22011,O fully powerful one[Nir],"2. A ind. a particle of reminiscence, Pāṇ. i, 1, 14"
1124.1,sahana,word,powerful,MW.sahana.239999 Voc.M.S,O fully powerful one[Nir],"sahana mfn. powerful, strong , Nir. viii, 15"
1125.1,kA,word,pleased,DHATU.kan. KRT.kvip Nom.M.S,The pleased[√कन् क्विप्] meditating one[√म्ना शतृ],
1125.1,manan,word,one,DHATU.mnA. KRT.Satf Nom.M.S,The pleased[√कन् क्विप्] meditating one[√म्ना शतृ],
1126.1,A,stem,fully,MW.A.22011,O Fully[Ragh] praised one[Nalod],"2. A ind. a particle of reminiscence, Pāṇ. i, 1, 14"
1126.1,navana,word,praised,MW.navana.104615 Voc.M.S,O Fully[Ragh] praised one[Nalod],"नवन n. . ) the act of praising, laudation, Nalod."
1127.1,sarva,stem,everything,MW.sarva.238107,O eater[√जम् ल्युट्] of everything[RV],"सर्व mfn.  whole, entire, all, every , RV. &c. &c."
1127.1,jamana,word,"jamana n. = jem°, L., Sch.",MW.jamana.77254 Voc.M.S,O eater[√जम् ल्युट्] of everything[RV],"jamana n. = jem°, L., Sch."
1129.1,ajara,word,indestructible,MW.ajara.2085 Voc.M.S,O indestructible one[=Agni; RV 1.127.9],"to old age, undecaying, ever young"
1132.1,sadAnva,word,"सदा—न्व mfn.  always crying out, RV.",MW.sadAnva.230769 Voc.M.S,roaring[RV],"सदा—न्व mfn.  always crying out, RV."
1133.1,varARi,word,restrain,DHATU.vf. TIN.low.1.S,May I restrain[√वृ लोट् 1s],
1134.1,yasan,word,powerful,DHATU.yas. KRT.Satf Voc.M.S,O endeavoring [√यस् शतृॅं] powerful[RV] meditator[√मान् अच्],
1134.1,ama,stem,mighty,MW.ama.13750,O endeavoring [√यस् शतृॅं] powerful[RV] meditator[√मान् अच्],"depriving of sensation, fright, terror, RV."
1134.1,mAna,word,powerful,MW.mAna.161764 Voc.M.S,O endeavoring [√यस् शतृॅं] powerful[RV] meditator[√मान् अच्],"मान See p. 809, col. 3."
1137.1,ras,stem,roaring,MW.ras,O roaring[VarBṛS] one who is the essence of all essences[ŚBr],
1137.1,anta,stem,all,MW.anta,O roaring[VarBṛS] one who is the essence of all essences[ŚBr],
1137.1,Arava,word,roaring,MW.Arava.26220 Voc.M.S,O roaring[VarBṛS] one who is the essence of all essences[ŚBr],"crash, sound, R. &c."
1139.1,rasa,stem,cane,MW.rasa.175486,"Sugarcane[RV,RV] (juicy cane)[L>R]","रस m. . ) the sap or juice of plants, juice of fruit, any liquid or fluid, the best or finest or prime part of anything, essence, marrow, RV. &c. &c."
1139.1,vaMSam,word,cane,MW.vaMSa.184159 Acc.M.S,"Sugarcane[RV,RV] (juicy cane)[L>R]","vaMSa/ m.  the bamboo cane or any cane , RV. &c. &c."
1141.1,ravam,word,Roarer,MW.rava.175305 Acc.M.S,Remember[√म्ना लोट् 2s] the Roarer[√रु अच्],"रव m.  a roar, yell, cry, howl , RV. &c. &c."
1141.1,mana,word,"N. of a son of Śambara, Hariv. .",MW.mana.156713 Voc.M.S,Remember[√म्ना लोट् 2s] the Roarer[√रु अच्],"N. of a son of Śambara, Hariv. ."
1143.1,ananam,word,breathing,MW.anana.4785 Acc.M.S,The One who is breathing[Nir; RV 10.129.2],"anana n. breathing, living, Nir."
1144.1,rada,stem,cleave,MW.rada.174790,O cleaving[√रद् अच्](Indra) destroyer[RV],"रद mfn.  scratching, splitting, gnawing at, Ghaṭ."
1144.1,han,word,destroyer,MW.han.260297 Voc.M.S,O cleaving[√रद् अच्](Indra) destroyer[RV],"to strike, beat , pound, hammer , strike &c"
1145.1,damana,stem,Subduer,MW.damana.90282,From the Subduer's[MBh] wisdom[RV abns],"self-restraint, W."
1145.1,manmanaH,word,wisdom,MW.manmana.157949 Nom.M.S,From the Subduer's[MBh] wisdom[RV abns],"manmana m. confidential whisper , Kāvyād., Sch."
1146.1,paSyantaH,word,beholders,DHATU.dfSi~r.1 KRT.Satf Nom.M.P,The beholders (of the Sun)[RV 1.152.4],
1147.1,kam,word,Excellent,MW.kam.43756.1 Nom.M.S,O excellent[RV] destroyer[BhP],
1147.1,dahana,word,destroyer,MW.dahana.91168 Voc.M.S,O excellent[RV] destroyer[BhP],"दहन mfn. burning, consuming by fire, scorching, destroying , Hariv."
1148.1,nava,stem,praiseworthy,DHATU.Ru. KRT.ap,Of the most praiseworthy[√नु अप्] power(Prāṇa)[RV gms],
1148.1,tama,stem,most,MW.tama.82868,Of the most praiseworthy[√नु अप्] power(Prāṇa)[RV gms],"1. तम m.  = तमस् , L., Sch."
1148.1,amasya,word,power,MW.ama.13750 Gen.M.S,Of the most praiseworthy[√नु अप्] power(Prāṇa)[RV gms],"depriving of sensation, fright, terror, RV."
1151.1,naran,word,bearer,DHATU.nF. KRT.Satf Nom.M.S,"O bearer[√नॄ शतृ], O one who breathed[√अन् शतृ RV 10.129.2]",
1151.1,anan,word,breathed,DHATU.ana~. KRT.Satf Nom.M.S,"O bearer[√नॄ शतृ], O one who breathed[√अन् शतृ RV 10.129.2]",
1152.1,nAnaH,word,Nāna,MW.nAna Nom.M.S,Nāna (Name)[Cat]  Jana(Name)[ ŚBr],
1152.1,janaH,word,"जन mfn. ‘generating’, see पुरं-",MW.jana.76736 Nom.M.S,Nāna (Name)[Cat]  Jana(Name)[ ŚBr],"जन mfn. ‘generating’, see पुरं-"
1153.1,Samana,word,destroyer,MW.Samana.212956 Voc.M.S,"O destroyer[MBh], O cleaver[RV]","शमन m. ‘settler, destroyer’, N. of Yama, Daś."
1153.1,dara,word,"दर mfn.   ifc., cleaving, breaking See पुरं-दर, भगं-",MW.dara.90371 Voc.M.S,"O destroyer[MBh], O cleaver[RV]","दर mfn.   ifc., cleaving, breaking See पुरं-दर, भगं-"
1154.1,AsI,word,thrower[MW:Asa],Wörterbuch.Asin Nom.M.S,The thrower[=Rudra;āsin Wörterbuch],
1158.1,kaMsam,word,cup,MW.kaMsa.41370 Acc.M.S,The (Soma) cup[AV],"कंस अस्, अम्, m. n. , a vessel made of metal, drinking vessel, cup, goblet, AV. x, 10, 5"
1164.1,raTa,stem,Moving,MW.raTa.174786,Moving[Pāṇ] by chariot[RV](various deities),"2. रथ m.  pleasure, joy, delight"
1164.1,sara,word,Moving,MW.sara.237440 Voc.M.S,Moving[Pāṇ] by chariot[RV](various deities),"सर m. going, motion, L."
1166.1,aSma,stem,2. aSma .,MW.aSma.19721,O one who throws[√अस् अच्] the thunderbolt[RV],2. aSma .
1166.1,asa,word,thunderbolt,DHATU.as. KRT.ac Voc.M.S,O one who throws[√अस् अच्] the thunderbolt[RV],
1168.2,raRa,stem,battle,MW.raRa.174077,Furious[MBh] in battle[RV],"रण n. battle , war, combat, fight, conflict, RV."
1168.2,mattam,word,in,MW.matta.155291 Acc.M.S,Furious[MBh] in battle[RV],"furious, mad, insane, ib."
1169.1,Sata,stem,very,MW.Sata.211814,For the very[RV] invigorating[RV] āñjana[AV],any very large number .
1169.1,madana,stem,the,MW.madana.155462,For the very[RV] invigorating[RV] āñjana[AV],"the season of spring, L."
1169.1,AYjanAya,word,very,MW.AYjana.23217 Dat.M.S,For the very[RV] invigorating[RV] āñjana[AV],"आञ्जन mfn. having the colour of the collyrium used for the eyes, MBh. v, 1708"
1170.1,BasA,stem,completely,DHATU.Basa~. KRT.ac STRI.wAp,do invite; O powerful shining Roarer,
1170.1,rava,stem,Roarer,MW.rava.175305,do invite; O powerful shining Roarer,"रव m.  a roar, yell, cry, howl , RV. &c. &c."
1170.1,ama,word,powerful,MW.ama.13749 Voc.M.S,do invite; O powerful shining Roarer,"1. अम m. impetuosity, violence, strength, power, RV."
1170.1,A,stem,invite,MW.A.22015.35,do invite; O powerful shining Roarer,"from, RV. i, 30, 21"
1170.1,mantra,word,powerful,MW.mantra.157540 Voc.M.S,do invite; O powerful shining Roarer,"mantra See p. 785, col. 3."
1171.1,dadAtu,word,Grant,DHATU.dA. TIN.low.3.S,"Grant[√दा लोट् 3s.] us sustenance[RV], O Shining[√अञ्ज् अच्] fire[Uṇvṛ]",
1171.1,avasam,word,us,MW.avasa.18214 Acc.M.S,"Grant[√दा लोट् 3s.] us sustenance[RV], O Shining[√अञ्ज् अच्] fire[Uṇvṛ]","avasa/ m. a king, Uṇ."
1171.1,aYja,stem,Shining,DHATU.anjU~. KRT.ac Voc.M.S,"Grant[√दा लोट् 3s.] us sustenance[RV], O Shining[√अञ्ज् अच्] fire[Uṇvṛ]",
